experiment_id	name	repo	commit	path	date	host	dataset	models	conditions	n_raw	n_valid	experimental_unit	endpoint	preregistered	terminal_state	result_direction	evidence_class	claim_ceiling	paper_role	reproducible_now	command_available	environment_available	source_hash	notes
AGENT-NATIVE-SPONSORS	Sponsor integration closeout	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/agent_native_sponsors_20260827	20260827	magicSTUDIObox.local	sponsor_fixtures	agent_runtime	integration	0	0	fixture	closeout	YES	CLOSEOUT_V2	DESCRIPTIVE	EXTERNALLY_RETRIEVED_EVIDENCE	HACKATHON_DEMO	APPENDIX	NO	historical	NO	9a6300d65a075a4a0b9f462e3bcd5a9c9a9d5ebdcfcc95d86163416b35dbf04c	
GPU-SGLANG-TERMINAL	GPU SGLang terminal lane	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/newinml_final_daisy_20260829/execution/gpu_sglang_terminal	20260829	blocked	N/A	sglang	canary	0	0	N/A	N/A	YES	BLOCKED	NOT_EXECUTED	DETERMINISTIC_TOOL_OUTPUT	NOT_ADMISSIBLE_PRIMARY	NEGATIVE	NO	blocked	NO	b69cdcdd40df78fc976aaf8b3fe33e8b5232b19c317a98d22a9cd733f6b406d7	GPU not provisioned
CFOS-HL-001	CFOS HydraLamp lane	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/newinml_final_daisy_20260829/execution/lane1_cfos	20260829	blocked	N/A	N/A	canary	0	0	N/A	N/A	YES	BLOCKED	NOT_EXECUTED	INFERENCE_HYPOTHESIS	NOT_ADMISSIBLE	NEGATIVE	NO	blocked	NO	431ce6eddd90cb6ceae24d3576678a7af89cd4349a2b8b5444585099a6ff0c95	cloudflare-os NOT_LOCATED
Q38-SUCCESSOR-PROBE	Qwen3.8 successor probe	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/qwen38_successor_probe_20260828	20260828	magicSTUDIObox.local	probe_cases	qwen3.8:27b	probe	1	1	probe	nonterminal	YES	PARTIAL	NONTERMINAL	PROBABILISTIC_MODEL_OUTPUT	FUTURE_DIRECTION	NEGATIVE	NO	historical	NO	9063c944fa42d9657a43597db5051d32bb7e0a68d5cec81e0d1d7f16f77e88e1	Omitted from primary results
TRACK-MODEL-K	Track model k sweep	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/track_model_k_20260820	20260820	magicstudiobox	EnterpriseRAG;HydraBlast;LongMemEval	3 models	k5;k10;k100	27	27	track_cell	delta_vs_control	YES	NO_MODEL_BENEFIT	NULL	VERIFIED_EMPIRICAL_RESULT	NEGATIVE_RESULT	APPENDIX	NO	historical	NO	a54de80af0bdd64da89f13bf54ff5ca13a2f508b84e3f2e8efa4510385f070bb	McNemar p~1 all cells
EXECUTION-AUDIT	Execution custody audit	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/execution_audit_20260820	20260820	magicstudiobox	repo_state	deterministic	forensic	0	0	audit_item	receipt	NO	FORENSIC	DESCRIPTIVE	DETERMINISTIC_TOOL_OUTPUT	CUSTODY	APPENDIX	YES	verify receipts	YES	5758408f128563cc49dec54c00843e1da86543bcf00312bd18f57e735c35db32	
CUSTODY-AUDIT-BATCH006	Custody audit batch 006	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/custody_audit_20260829_batch006	20260829	magicPRObox.local	ingest_batch	deterministic	audit	307	307	source	verified_ingest	NO	PASS	PARTIAL	DETERMINISTIC_TOOL_OUTPUT	CUSTODY	APPENDIX	YES	python3 scripts/build_successor_recovery.py	YES	78a0fb46e49d491c4fb2af020dd01ba54b88c8f8adbe37e22a5b6f392ff07c31	666 partial terminal elsewhere
TERMINOLOGY-ANTICUBE	Anticube terminology ingest	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/terminology_seedgraph_anticube_20260829	20260829	magicPRObox.local	source_universe	deterministic	SELFxSAFE	973	307	source	ingest_state	NO	STAGE001_COMPLETE	PARTIAL	DETERMINISTIC_TOOL_OUTPUT	TERMINOLOGY	APPENDIX	YES	verify closeout JSON	YES	b83f9ca915cf3eab7546ad63102d5c0b4054cb490011e90bcef146f895c915f4	CONTEXT_SCORE_DELTA=NOT_COMPUTED
BEAM-1M	BEAM dataset preregistration	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/beam_1m_20260820	20260820	N/A	BEAM-1M	N/A	license_only	0	0	N/A	N/A	YES	LICENSE_ONLY	NOT_EXECUTED	EXTERNALLY_RETRIEVED_EVIDENCE	DATA_REFERENCE	APPENDIX	NO	N/A	NO	95553a26f632035cb37191704193349aa93379edef6673a9a1227366a6da0132	No execution
IMMERSIVE-COMMONS-SUBMISSION	Hackathon submission seal	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/immersive_commons_submission_20260827	20260827	magicSTUDIObox.local	submission_bundle	deterministic	seal	0	0	artifact	seal_closeout	NO	SEAL_CLOSEOUT	OPERATIONAL	DIRECT_HUMAN_EVIDENCE	OPERATIONAL_CONTEXT	FOOTNOTE	NO	historical	NO	ec0ef1b8d36986f544764c78347eef734c928ef4c2412ca7dc84b93b01c6d1c1	Portal context not scientific method
AGENT_NATIVE_BUILDERS_LIVE_20260826	agent_native_builders_live_20260826	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/agent_native_builders_live_20260826	20260826	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
CUSTODY_AUDIT_20260829	custody_audit_20260829	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/custody_audit_20260829	20260829	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	5e551e205c9a9977b63a34bcfcd71269cb21f2122ad1cd60e16de9f4299a0f3a	Auto-scanned eval directory
CUSTODY_AUDIT_20260829_BATCH005	custody_audit_20260829_batch005	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/custody_audit_20260829_batch005	batch005	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	1269b599ce5786e31ec407d8a4dbbfcda22390cab4a189d8048c7678db84d135	Auto-scanned eval directory
FINAL_SOLO_CLOSEOUT_20260829	final_solo_closeout_20260829	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/final_solo_closeout_20260829	20260829	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
FINAL_SUBMISSION_20260827	final_submission_20260827	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/final_submission_20260827	20260827	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
GUIDED_EVALUATORS_20260820	guided_evaluators_20260820	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/guided_evaluators_20260820	20260820	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	e3265580ae05708fd76533cd5be02e5438f3e2b065d7e056ad5f53ade0695aaf	Auto-scanned eval directory
HOSTED_MIGRATION_20260820	hosted_migration_20260820	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/hosted_migration_20260820	20260820	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	18d29e659a76ad5d1fc169d8736fa261ecfdf58b326f9d6085d7cdaf4301ff4e	Auto-scanned eval directory
HYDRALAMP_20260826	hydralamp_20260826	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/hydralamp_20260826	20260826	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	7671288677c8b8d51cb6e338e5fc65893fe54b3df4297736e26d0feaad9a7809	Auto-scanned eval directory
HYDRALAMP_FINAL_REAL_SAMPLE_20260827	hydralamp_final_real_sample_20260827	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/hydralamp_final_real_sample_20260827	20260827	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	f2a71ec71e1c1d572e2d3ce1365a2f98570052cf524c6a5ed9662da3a7196813	Auto-scanned eval directory
IC_POSTMORTEM_20260827	ic_postmortem_20260827	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/ic_postmortem_20260827	20260827	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	fdde308a08d8fe0a67e32547a7ca6167b1f374254c63df4bd084b80bbbbc5e74	Auto-scanned eval directory
MODEL_MATRIX_20260820	model_matrix_20260820	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/model_matrix_20260820	20260820	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	cd18ba9d58a97a905db8f5ebf95ff7fc018740d0e7a054ed26af5c1e664a7701	Auto-scanned eval directory
NEWINML_FINAL_DAISY_20260829	newinml_final_daisy_20260829	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/newinml_final_daisy_20260829	20260829	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
OLLARMA_FCG_ROOT_REVIEW_20260827	ollarma_fcg_root_review_20260827	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/ollarma_fcg_root_review_20260827	20260827	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	0b176d24762d8f77323409270858ec1e278d88795df0bec716c93aef9b526168	Auto-scanned eval directory
OLLARMA_MEASUREMENT_REVIEW_20260827	ollarma_measurement_review_20260827	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/ollarma_measurement_review_20260827	20260827	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	213fcbdc936e5cdf2bee438b92d6bdbd2a67b82826fabb867299c6b07fba6c26	Auto-scanned eval directory
REAL_LOCAL_MATRIX_20260820	real_local_matrix_20260820	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/real_local_matrix_20260820	20260820	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	b84e7136e9db5aed94ad52defec891d3e428e934f101cf604c4832d816866791	Auto-scanned eval directory
REAL_LOCAL_MATRIX_V2_20260820	real_local_matrix_v2_20260820	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/real_local_matrix_v2_20260820	20260820	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
REAL_PRIMARY_MATRIX_20260820	real_primary_matrix_20260820	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/real_primary_matrix_20260820	20260820	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
REAL_PRIMARY_MATRIX_V3_20260820	real_primary_matrix_v3_20260820	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/real_primary_matrix_v3_20260820	20260820	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
REAL_PRIMARY_MATRIX_V4_20260821	real_primary_matrix_v4_20260821	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/real_primary_matrix_v4_20260821	20260821	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
REAL_PRIMARY_MATRIX_V5_20260821	real_primary_matrix_v5_20260821	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/real_primary_matrix_v5_20260821	20260821	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
STUDIO_DAISY_20260821	studio_daisy_20260821	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/studio_daisy_20260821	20260821	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN		Auto-scanned eval directory
VERCEL_PUBLIC_CLOSEOUT_20260827	vercel_public_closeout_20260827	biobitworks/hydradg	b46ea25d34beddf326c716e2d3633d4ee5d91228	eval/vercel_public_closeout_20260827	20260827	see_receipt	see_receipt	see_receipt	see_receipt	0	0	see_receipt	see_receipt	UNKNOWN	SCANNED	SEE_RECEIPT	DETERMINISTIC_TOOL_OUTPUT	INVENTORY_ONLY	APPENDIX	UNKNOWN	see_receipt	UNKNOWN	cddf159f853c007b596b16cd97a51aabbac96494a159526622c889f7c55d9615	Auto-scanned eval directory
