project	experiment_id	status	claim_ceiling	NewInML_role	source_pointer	source_sha
biobitworks/hydradg	AGENT-NATIVE-SPONSORS	CLOSEOUT_V2	HACKATHON_DEMO	APPENDIX	eval/agent_native_sponsors_20260827	9a6300d65a075a4a0b9f462e3bcd5a9c9a9d5ebdcfcc95d86163416b35dbf04c
biobitworks/hydradg	GPU-SGLANG-TERMINAL	BLOCKED	NOT_ADMISSIBLE_PRIMARY	NEGATIVE	eval/newinml_final_daisy_20260829/execution/gpu_sglang_terminal	b69cdcdd40df78fc976aaf8b3fe33e8b5232b19c317a98d22a9cd733f6b406d7
biobitworks/hydradg	CFOS-HL-001	BLOCKED	NOT_ADMISSIBLE	NEGATIVE	eval/newinml_final_daisy_20260829/execution/lane1_cfos	431ce6eddd90cb6ceae24d3576678a7af89cd4349a2b8b5444585099a6ff0c95
biobitworks/hydradg	Q38-SUCCESSOR-PROBE	PARTIAL	FUTURE_DIRECTION	NEGATIVE	eval/qwen38_successor_probe_20260828	9063c944fa42d9657a43597db5051d32bb7e0a68d5cec81e0d1d7f16f77e88e1
biobitworks/hydradg	TRACK-MODEL-K	NO_MODEL_BENEFIT	NEGATIVE_RESULT	APPENDIX	eval/track_model_k_20260820	a54de80af0bdd64da89f13bf54ff5ca13a2f508b84e3f2e8efa4510385f070bb
biobitworks/hydradg	EXECUTION-AUDIT	FORENSIC	CUSTODY	APPENDIX	eval/execution_audit_20260820	5758408f128563cc49dec54c00843e1da86543bcf00312bd18f57e735c35db32
biobitworks/hydradg	CUSTODY-AUDIT-BATCH006	PASS	CUSTODY	APPENDIX	eval/custody_audit_20260829_batch006	78a0fb46e49d491c4fb2af020dd01ba54b88c8f8adbe37e22a5b6f392ff07c31
biobitworks/hydradg	TERMINOLOGY-ANTICUBE	STAGE001_COMPLETE	TERMINOLOGY	APPENDIX	eval/terminology_seedgraph_anticube_20260829	b83f9ca915cf3eab7546ad63102d5c0b4054cb490011e90bcef146f895c915f4
biobitworks/hydradg	BEAM-1M	LICENSE_ONLY	DATA_REFERENCE	APPENDIX	eval/beam_1m_20260820	95553a26f632035cb37191704193349aa93379edef6673a9a1227366a6da0132
biobitworks/hydradg	IMMERSIVE-COMMONS-SUBMISSION	SEAL_CLOSEOUT	OPERATIONAL_CONTEXT	FOOTNOTE	eval/immersive_commons_submission_20260827	ec0ef1b8d36986f544764c78347eef734c928ef4c2412ca7dc84b93b01c6d1c1
biobitworks/hydradg	AGENT_NATIVE_BUILDERS_LIVE_20260826	SCANNED	INVENTORY_ONLY	APPENDIX	eval/agent_native_builders_live_20260826	
biobitworks/hydradg	CUSTODY_AUDIT_20260829	SCANNED	INVENTORY_ONLY	APPENDIX	eval/custody_audit_20260829	5e551e205c9a9977b63a34bcfcd71269cb21f2122ad1cd60e16de9f4299a0f3a
biobitworks/hydradg	CUSTODY_AUDIT_20260829_BATCH005	SCANNED	INVENTORY_ONLY	APPENDIX	eval/custody_audit_20260829_batch005	1269b599ce5786e31ec407d8a4dbbfcda22390cab4a189d8048c7678db84d135
biobitworks/hydradg	FINAL_SOLO_CLOSEOUT_20260829	SCANNED	INVENTORY_ONLY	APPENDIX	eval/final_solo_closeout_20260829	
biobitworks/hydradg	FINAL_SUBMISSION_20260827	SCANNED	INVENTORY_ONLY	APPENDIX	eval/final_submission_20260827	
biobitworks/hydradg	GUIDED_EVALUATORS_20260820	SCANNED	INVENTORY_ONLY	APPENDIX	eval/guided_evaluators_20260820	e3265580ae05708fd76533cd5be02e5438f3e2b065d7e056ad5f53ade0695aaf
biobitworks/hydradg	HOSTED_MIGRATION_20260820	SCANNED	INVENTORY_ONLY	APPENDIX	eval/hosted_migration_20260820	18d29e659a76ad5d1fc169d8736fa261ecfdf58b326f9d6085d7cdaf4301ff4e
biobitworks/hydradg	HYDRALAMP_20260826	SCANNED	INVENTORY_ONLY	APPENDIX	eval/hydralamp_20260826	7671288677c8b8d51cb6e338e5fc65893fe54b3df4297736e26d0feaad9a7809
biobitworks/hydradg	HYDRALAMP_FINAL_REAL_SAMPLE_20260827	SCANNED	INVENTORY_ONLY	APPENDIX	eval/hydralamp_final_real_sample_20260827	f2a71ec71e1c1d572e2d3ce1365a2f98570052cf524c6a5ed9662da3a7196813
biobitworks/hydradg	IC_POSTMORTEM_20260827	SCANNED	INVENTORY_ONLY	APPENDIX	eval/ic_postmortem_20260827	fdde308a08d8fe0a67e32547a7ca6167b1f374254c63df4bd084b80bbbbc5e74
biobitworks/hydradg	MODEL_MATRIX_20260820	SCANNED	INVENTORY_ONLY	APPENDIX	eval/model_matrix_20260820	cd18ba9d58a97a905db8f5ebf95ff7fc018740d0e7a054ed26af5c1e664a7701
biobitworks/hydradg	NEWINML_FINAL_DAISY_20260829	SCANNED	INVENTORY_ONLY	APPENDIX	eval/newinml_final_daisy_20260829	
biobitworks/hydradg	OLLARMA_FCG_ROOT_REVIEW_20260827	SCANNED	INVENTORY_ONLY	APPENDIX	eval/ollarma_fcg_root_review_20260827	0b176d24762d8f77323409270858ec1e278d88795df0bec716c93aef9b526168
biobitworks/hydradg	OLLARMA_MEASUREMENT_REVIEW_20260827	SCANNED	INVENTORY_ONLY	APPENDIX	eval/ollarma_measurement_review_20260827	213fcbdc936e5cdf2bee438b92d6bdbd2a67b82826fabb867299c6b07fba6c26
biobitworks/hydradg	REAL_LOCAL_MATRIX_20260820	SCANNED	INVENTORY_ONLY	APPENDIX	eval/real_local_matrix_20260820	b84e7136e9db5aed94ad52defec891d3e428e934f101cf604c4832d816866791
biobitworks/hydradg	REAL_LOCAL_MATRIX_V2_20260820	SCANNED	INVENTORY_ONLY	APPENDIX	eval/real_local_matrix_v2_20260820	
biobitworks/hydradg	REAL_PRIMARY_MATRIX_20260820	SCANNED	INVENTORY_ONLY	APPENDIX	eval/real_primary_matrix_20260820	
biobitworks/hydradg	REAL_PRIMARY_MATRIX_V3_20260820	SCANNED	INVENTORY_ONLY	APPENDIX	eval/real_primary_matrix_v3_20260820	
biobitworks/hydradg	REAL_PRIMARY_MATRIX_V4_20260821	SCANNED	INVENTORY_ONLY	APPENDIX	eval/real_primary_matrix_v4_20260821	
biobitworks/hydradg	REAL_PRIMARY_MATRIX_V5_20260821	SCANNED	INVENTORY_ONLY	APPENDIX	eval/real_primary_matrix_v5_20260821	
biobitworks/hydradg	STUDIO_DAISY_20260821	SCANNED	INVENTORY_ONLY	APPENDIX	eval/studio_daisy_20260821	
biobitworks/hydradg	VERCEL_PUBLIC_CLOSEOUT_20260827	SCANNED	INVENTORY_ONLY	APPENDIX	eval/vercel_public_closeout_20260827	cddf159f853c007b596b16cd97a51aabbac96494a159526622c889f7c55d9615
biobitworks/hydralamp	CORE_STRESS	PASS	SYSTEMS_VALIDATION_ONLY	SYSTEMS	eval/hydralamp_runtype_20260826	aa02089d1f55c3564e55d0fdb87a4a7773dfe24e1e5f1d8b3928d049b9463adf
biobitworks/fractal-custody-objects	FCO_PREPRINT_LINEAGE	EXTERNAL_PREPRINT	ZERO_PRIMARY_WEIGHT	FRAMEWORK	zenodo.21829929	NOT_IN_CHECKOUT
biobitworks/vitaology	EXP-001..014	NOT_IN_CHECKOUT	ZERO_PRIMARY_WEIGHT	RELATED_IMPLEMENTATION	PLANNED	NOT_IN_CHECKOUT
