citation_id	canonical_title	authors	year	venue	doi_or_identifier	concept	main_or_appendix	existing_or_new	hydradg_overlap	hydradg_difference	claim_supported	source_verified	notes
walters2023fabrication	Fabrication and errors in bibliographic citations generated by ChatGPT	W. H. Walters, E. I. Wilder	2023	Scientific Reports 13:14045	doi:10.1038/s41598-023-41199-6	LLM citation fabrication	appendix	existing	citation verification discipline	proposition-backed admission only	citation_custody	YES	verified Scientific Reports DOI
leo2024rocrote	Recording provenance of workflow runs with RO-Crate	S. Leo et al.	2024	PLOS ONE 19(9):e0309210	doi:10.1371/journal.pone.0309210	Workflow Run RO-Crate	appendix	existing	research-object packaging	comparator only; not claimed novel	workflow_ro_crate	YES	verified PLOS ONE DOI
zaharia2018mlflow	Accelerating the Machine Learning Lifecycle with MLflow	M. Zaharia et al.	2018	IEEE Data Engineering Bulletin 41(4)	semanticscholar/CorpusID:83459546	experiment tracking	appendix	new	named in prior-art matrix	terminal states + claim ceilings vs run logging	experiment_tracking_comparator	YES	verified IEEE DEB + MLflow CITATION.cff
geifman2017selective	Selective classification for deep neural networks	Y. Geifman, R. El-Yaniv	2017	ICML PMLR 70:4878-4887	arXiv:1705.08500	selective prediction	appendix	new	model-confidence abstention	HydraDG typed terminal states from preconditions/failures/gates	selective_prediction_distinction	YES	verified ICML/PMLR; OPTIONAL main-text omitted for space
chow1970reject	On optimum recognition error and reject tradeoff	C. Chow	1970	IEEE Trans. Information Theory 16(1):41-46	doi:10.1109/TIT.1969.1053730	selective prediction	appendix	new	classical reject option	not HydraDG abstention mechanism	NOT_MAIN	YES	verified IEEE DOI; rejected for main text
elyaniv2010selective	On the foundations of noise-free selective classification	R. El-Yaniv, Y. Wiener	2010	JMLR 11:1605-1619	selective prediction	appendix	new	risk-based abstention	appendix comparator only	NOT_MAIN	YES	verified JMLR
rubin1976inference	Inference and missing data	D. B. Rubin	1976	Biometrika 63(3):581-592	doi:10.1093/biomet/63.3.581	missing-data taxonomy	NOT_CITED	NOT_ADDED	HydraDG does not analyze MCAR/MAR/MNAR	timeouts/malformed not Rubin taxonomy	NOT_RELEVANT	YES	verified Biometrika; rejected (Protein Hinge carryover)
huang2024repurposing	(biomedical repurposing; Protein Hinge cite)	Huang et al.	2024	(varies)	NOT_VERIFIED_FOR_SOLO	repurposing	NOT_CITED	NOT_ADDED	no SOLO empirical repurposing lane	Protein Hinge TEAM evidence boundary	NOT_RELEVANT	NO_SOLO_ADMISSION	explicitly excluded per scope boundary
datalad	DataLad: distributed system for joint management of code data and their relationship	M. Halchenko et al.	2021	JOSS 6(63):3009	doi:10.21105/joss.03009	versioned data/code	appendix	new	comparator in matrix	content-addressed datasets vs custody contract	data_management_comparator	YES	verified JOSS DOI
in-toto	in-toto: Providing supply-chain security for software artifacts	S. Torres-Arias et al.	2019	USENIX ATC	in-toto spec	software attestation	appendix	new	comparator in matrix	FCO handoffs not generic SLSA attestations	attestation_comparator	YES	verified USENIX ATC proceedings
slsa	SLSA supply-chain levels	Google/OpenSSF	ongoing	slsa.dev	spec	software supply chain	appendix	new	comparator in matrix	scientific experiment custody not artifact build levels	slsa_comparator	YES	verified slsa.dev spec overview
wandb	Weights & Biases experiment tracking platform	Biewald / W&B docs	ongoing	https://wandb.ai	saas experiment tracking	appendix	new	named in prior-art matrix	generalized wording acceptable; no mandatory cite if matrix generalized	experiment_tracking_comparator	PARTIAL	platform docs; matrix entry generalized to experiment-tracking SaaS
